epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.8700714,0.7506478,0.6102924971721171,0.8474,0.7796,0.6140
1,0.89026195,0.8306757,0.5806250328653619,0.8442,0.7818,0.6028
2,0.89313716,0.84891367,0.5657880963237489,0.8539,0.7892,0.5869
3,0.89668673,0.8581822,0.5511260076671192,0.8521,0.7907,0.5762
4,0.90176153,0.8647598,0.5367691872817053,0.8406,0.7892,0.5686
5,0.9043654,0.8668527,0.5221845043924479,0.8595,0.8010,0.5498
6,0.9094311,0.8774168,0.50767233766406,0.8611,0.7914,0.5508
7,0.9108755,0.8867849,0.49436336070839715,0.8554,0.7936,0.5367
8,0.91339016,0.8895754,0.4777080793529957,0.8650,0.8033,0.5198
9,0.92100644,0.89535576,0.4636228339758104,0.8658,0.8062,0.5113
10,0.9223948,0.89834565,0.44718943459949145,0.8760,0.8070,0.5042
11,0.9259336,0.9012358,0.4338296191588279,0.8652,0.8099,0.4963
12,0.92911226,0.90312934,0.42075806275197225,0.8700,0.8092,0.4871
13,0.9301387,0.90851104,0.4070539504960877,0.8742,0.8070,0.4799
14,0.93418807,0.90801275,0.39489818907767765,0.8645,0.8084,0.4781
15,0.9353164,0.9139924,0.38217681448536134,0.8742,0.8092,0.4684
16,0.9384478,0.9137931,0.36983457592312075,0.8667,0.8107,0.4680
17,0.94028544,0.91758025,0.3595662826272342,0.8760,0.8092,0.4589 
18,0.94130164,0.9193741,0.3481842357162605,0.8739,0.8129 ,0.4560 
19,0.94365436,0.921766,0.33673042386253443,0.8746,0.8092,0.4568
20,0.94397503,0.92465615,0.32650842867941643,0.8743,0.8114,0.4530
21,0.9485464,0.92744666,0.3156173572772904,0.8844,0.8121,0.4451
22,0.9491959,0.93113416,0.30498576597588123,0.8798,0.8129,0.4481
23,0.9497271,0.93213075,0.2972052126130854,0.8765,0.8129,0.4433
24,0.9501408,0.93571854,0.2877211531890396,0.8726,0.8070 ,0.4551 
25,0.95357555,0.9372135,0.27811025016534036,0.8777,0.8151,0.4479
26,0.95608747,0.94239587,0.26792140548593235,0.8888,0.8136,0.4394 
27,0.9557536,0.94339246,0.2646152761642121,0.8804,0.8158,0.4423
28,0.957196,0.9432928,0.2617839288552349,0.8794,0.8188,0.4411 
29,0.9577512,0.9456847,0.2586703889275396,0.8799,0.8143,0.4395 
30,0.9553907,0.945884,0.2610024490934077,0.8800,0.8151 ,0.4389
31,0.9552131,0.94618297,0.2582157335095798,0.8888,0.8188,0.4380
32,0.9574543,0.9451864,0.25630843886191895,0.8855,0.8136,0.4392
33,0.95761794,0.94668126,0.25472205453762997,0.8851,0.8129,0.4400
34,0.95782435,0.9481762,0.25324308451651956,0.8836,0.8136,0.4399
35,0.9569872,0.94668126,0.25377111548870857,0.8807,0.8121,0.4402
36,0.9593169,0.9450867,0.25539123683793624,0.8820,0.8143,0.4395
37,0.9598712,0.9478772,0.2519851778491883,0.8806,0.8136,0.4397 
38,0.95795685,0.94737893,0.25405799117082617,0.8811,0.8136 , 0.4397
39,0.9586225,0.9474786,0.25345058809577503,0.8814,0.8129,0.4400
40,0.9560436,0.94827586,0.25399468656208307,0.8808,0.8129 ,0.4400 
41,0.9589718,0.9479769,0.25127860890077314,0.8817,0.8151,0.4396
